title,url,author,ingredients,instructions
Lavender-Lemon Crinkle Cookies,https://www.bonappetit.com/recipe/lavender-lemon-crinkle-cookies,Cheryl Day,"IngredientsMakes 362cups (250 g) all-purpose flour1Tbsp. finely grated lemon zest1½tsp. baking powder1tsp. Diamond Crystal or ½ tsp. Morton kosher salt1tsp. dried lavender buds (optional)2large eggs¼cup fresh lemon juice½tsp. vanilla extract½cup (1 stick) unsalted butter, room temperature1cup (200 g) granulated sugar½cup (55 g) powdered sugar","PreparationStep 1Whisk flour, lemon zest, baking powder, salt, and lavender (if using) in a medium bowl. Whisk eggs, lemon juice, and vanilla extract in a small bowl.Step 2Beat butter and granulated sugar in the bowl of a stand mixer fitted with the paddle attachment on medium speed until pale and creamy, about 2 minutes. Add egg mixture and beat 1 minute to combine. Reduce speed to low and add dry ingredients in 3 batches, mixing just until combined after each batch before adding more. Dough will be very soft at this point. Cover bowl and chill dough at least 1 hour and up to 2 days. (If chilling longer than 1 hour, transfer to an airtight container; this will keep the dough from drying out.)Step 3Place racks in middle and lower thirds of oven and preheat to 350°. Place powdered sugar in a small bowl. Using a #60 or #70 cookie scoop (or 1 Tbsp.), portion out dough and roll into balls. Working quickly so dough doesn’t have a chance to warm up, drop each dough ball into powdered sugar and roll to coat evenly. Divide cookies between 2 parchment-lined baking sheets, spacing 2"" apart.Step 4Bake cookies, rotating baking sheets top to bottom and front to back halfway through, until puffed and cracked and edges are set, but centers are still soft (cookies will look underbaked between the cracks), 10–13 minutes.Step 5Let cookies cool on baking sheets before serving.Do ahead: Cookies can be baked 3 days ahead. Store airtight at room temperature."
Mini Baked Alaskas,https://www.bonappetit.com/recipe/mini-baked-alaskas,Cheryl Day,"Ingredients6 ServingsCakeUnsalted butter or nonstick vegetable oil spray (for pan)1¾cups (219 g) all-purpose flour, plus more for pan2large eggs, room temperature1large egg yolk, room temperature1cup buttermilk, room temperature1cup lukewarm brewed coffee½cup vegetable oil1tsp. vanilla extract1¾cups (350 g) granulated sugar¾cup (60 g) Dutch-process cocoa powder2tsp. Diamond Crystal or 1¼ tsp. Morton kosher salt2tsp. baking soda1tsp. baking powder2oz. (57 g) bittersweet chocolate, melted, slightly cooledMeringue and Assembly½cup (160 g) strawberry or raspberry jam1quart any flavor ice cream4large egg whites1cup (200 g) granulated sugar1tsp. cream of tartar1tsp. vanilla extractspecial equipmentA 3""-diameter round cookie cutter (not fluted); a kitchen torch","PreparationCakeStep 1Place a rack in middle of oven and preheat to 350°. Butter a rimmed 18x13"" baking sheet or lightly coat with nonstick spray. Line with parchment paper; lightly butter or coat parchment and dust lightly with flour, tapping out excess. Whisk together eggs, egg yolk, buttermilk, coffee, oil, and vanilla extract in a medium bowl.Step 2Mix granulated sugar, cocoa powder, salt, baking soda, baking powder, and 1¾ cups (219 g) flour in the bowl of a stand mixer fitted with paddle attachment on low speed until combined, about 1 minute. Add egg mixture in 3 additions, beating on medium speed 30 seconds after each addition. Add melted chocolate and beat, scraping down sides of bowl to ensure everything is well mixed.Step 3Scrape batter into prepared baking sheet and rap on counter to level. Bake cake until a tester inserted into the center comes out clean, 20–25 minutes. Let cake cool 15 minutes, then run an offset spatula along edges to loosen. Set a wire rack upside down over baking sheet and flip over to release cake. Carefully peel away parchment paper and let cool completely.Meringue and AssemblyStep 4Transfer cake to a cutting board. Cut out 12 rounds with cookie cutter (leftover scraps are for snacking). Top 6 cake rounds with a 1 Tbsp. dollop of jam each; sandwich with remaining cake rounds. Place each cake sandwich on an 8"" square of plastic wrap (lightly moistening the counter will help plastic stay flat).Step 5Just before serving, heat egg whites, granulated sugar, and cream of tartar in the bowl of a stand mixer set over a saucepan of barely simmering water (do not let bowl touch water), whisking constantly, until sugar is dissolved and an instant-read thermometer registers 120°, 5–7 minutes.Step 6Soften ice cream just enough to be able to scoop with a #8 ice cream scoop (or a heaping ½ cup). Arrange a scoop of ice cream, flat side down, on top of each cake sandwich. Pull plastic wrap up and around cake and ice cream and twist to seal tightly. Freeze until ice cream is very hard, at least 1 hour.Step 7Fit bowl onto stand mixer fitted with whisk attachment, add vanilla extract, and beat on medium-high speed until meringue forms stiff, glossy peaks, about 5 minutes.Step 8Unwrap ice cream domes and place on individual heatproof plates. Working quickly, spread meringue over domes with a spoon or small offset spatula, making lots of decorative swirls and peaks all over. (You can also use a pastry bag fitted with a large fluted tip and pipe meringue over each dome.) Make sure all of the ice cream and cake is covered. Toast meringue with kitchen torch until golden.Do ahead: Ice cream domes can be assembled 3 days ahead. Keep frozen. Cover with meringue and toast just before serving."
"One-Pan Chicken Thighs with Burst Tomatoes, Harissa, and Feta",https://www.bonappetit.com/recipe/one-pan-chicken-thighs-with-burst-tomatoes-harissa-and-feta,Molly Baz,"Ingredients4 servings6skin-on, bone-in chicken thighs (about 2¼ lb. total)3tsp. kosher salt, divided1½lb. cherry tomatoes (any color)¼cup harissa paste3Tbsp. red wine vinegar3sprigs oregano, divided4oz. fetaCrusty bread (for serving)","PreparationStep 1Pat 6 chicken thighs dry with paper towels. This will help the skin get nice and brown. Season all over with 2½ tsp. salt. (When you're seasoning meat, a good rule of thumb is 1 tsp. salt per pound.)Step 2Place chicken (skin side down) in a dry large cast-iron skillet with the heat off. Heat over medium and cook chicken, undisturbed, until skin is very crisp and deeply golden brown and releases from pan (an indication that the skin is brown and crackly), 13–16 minutes. You have permission to rotate the pan (but not the chicken) from time to time to encourage all thighs to get equal love from the burner. And just like starting fish skin side down in a room temp pan guarantees crackly, bronzed skin, doing the same with chicken renders the fat slowly—and that means even browning and the crispiest skin imaginable.Step 3Using tongs, transfer chicken to a plate. Make sure to keep it skin side up: Placing that crispy skin against the plate will cause it to steam and sog, negating all of your hard work.Step 4Add 1½ lb. cherry tomatoes, ¼ cup harissa paste, 3 Tbsp. red wine vinegar, 1 oregano sprig  and remaining ½ tsp. salt to pan. Increase heat to medium-high and cook, stirring occasionally, until tomatoes have burst and released all of their juices, and the juices have started to thicken, 8–10 minutes.Step 5Nestle chicken thighs back into skillet (keep the skin side up) over tomatoes.Step 6Reduce heat to medium-low, bring to a simmer, and cook until chicken is just cooked through and flesh is no longer pink (an instant-read thermometer inserted into the thickest part near the bone will register 165°), and tomato sauce has thickened and a wooden spoon leaves a trail when dragged through, 6–8 minutes. Let sit 5 minutes—this gives the meat an opportunity to reabsorb the moisture that moved to the surface while it cooked. Sounds technical, but it means your chicken will be tender and juicy.Step 7While chicken cooks, cut 4 oz. feta into ¼""-thick planks.Step 8Once chicken has rested for 5 minutes, break feta planks into large pieces, scattering over skillet. Some pieces will stay intact while others will soften into the sauce a little—and that's exactly what you want.Step 9Pick leaves off remaining 2 oregano sprigs and scatter over chicken and tomatoes.Step 10Serve with torn crusty bread for sopping up any extra tomato sauce."
Peperoncini Chicken,https://www.bonappetit.com/recipe/peperoncini-chicken,Grant Melton,"Ingredients4 Servings2lb. skin-on, bone-in chicken thighs (6–8)1½tsp. Diamond Crystal or ¾ tsp. Morton kosher salt, divided¾tsp. freshly ground pepper, divided3Tbsp. extra-virgin olive oil, divided1lb. fingerling potatoes, halved lengthwise10peperoncini, plus ½ cup brine2garlic cloves, finely grated1tsp. dried oregano½medium red onion, thinly sliced3celery stalks, thinly sliced (about 1 cup), plus celery leaves for serving2Tbsp. chopped parsley","PreparationStep 1Preheat oven to 425°. Sprinkle chicken thighs all over with 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt and ½ tsp. pepper. Coat a large cast-iron skillet with 1 Tbsp. oil. Arrange chicken thighs, skin side down, in pan and place over medium heat. Cook, undisturbed, until skin underneath is browned, 14–16 minutes.Play/Pause ButtonPausePlay/Pause ButtonPauseChevronChevronStep 2Meanwhile, toss potatoes, peperoncini, garlic, oregano, remaining 2 Tbsp. oil, ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt, and ¼ tsp. pepper in a large bowl. Set aside.Step 3Turn chicken over. Add potato mixture to pan, arranging snugly around thighs. Pour peperoncini brine around edges of pan and give pan a shake to evenly distribute. Transfer skillet to oven and roast until chicken is cooked through and potatoes are tender, 40–45 minutes.Step 4Remove skillet from oven and transfer chicken and peperoncini to a plate. Place skillet over high heat and cook potatoes, stirring often, until coated in drippings and glossy, about 4 minutes. Remove from heat and stir in red onion, sliced celery, and parsley.Play/Pause ButtonPausePlay/Pause ButtonPausePlay/Pause ButtonPauseChevronChevronStep 5Place chicken and peperoncini on top of vegetables and scatter some celery leaves over."
Pork Chop Cacciatore,https://www.bonappetit.com/recipe/pork-chop-cacciatore,Anna Gass,"Ingredients2 - 4 Servings25–6-oz. bone-in pork rib chops1½tsp. Diamond Crystal or 1 tsp. Morton kosher salt, plus moreFreshly ground black pepper1tsp. dried oregano2Tbsp. extra-virgin olive oil, divided1red bell pepper, ribs and seeds removed, coarsely chopped1small onion, coarsely chopped2garlic cloves, smashed1Tbsp. double-concentrated tomato paste¾cup red wine128-oz. can diced tomatoes1Tbsp. drained capers2sprigs oregano, plus leavesCrusty bread (for serving)","PreparationStep 1Pat pork chops dry with paper towels. Season on both sides with salt and pepper; sprinkle all over with dried oregano.Step 2Heat 1 Tbsp. oil in a cast-iron skillet over medium-high. Cook pork chops, undisturbed, until just starting to brown, about 3 minutes per side. Transfer to a plate.Step 3Reduce heat to medium and add remaining 1 Tbsp. oil to pan. Cook bell pepper, onion, and garlic, stirring often with a wooden spoon, until onion is softened and golden, about 4 minutes. Add tomato paste and cook, stirring often, until vegetables are coated and paste is darkened slightly, about 1 minute. Add wine, scraping up any browned bits. Reduce heat to medium-low and simmer gently until wine is reduced by a little more than half, about 5 minutes.Step 4Mix in diced tomatoes, capers, 2 oregano sprigs, and remaining 1½ tsp. Diamond Crystal or 1 tsp. Morton kosher salt and cook, stirring occasionally to prevent sticking, until sauce is slightly thickened, 18–22 minutes.Step 5Nestle pork chops into sauce and add any juices that have collected on plate. Spoon a bit of sauce over pork and simmer gently until meat is cooked through and an instant-read thermometer inserted into the thickest part registers 145°, 6–8 minutes.Step 6Divide chops and sauce between plates. (Cut meat from bones and thickly slice if dividing among 4.) Top with oregano and serve with bread."
Sheet-Pan Turkey and Gravy,https://www.bonappetit.com/recipe/sheet-pan-turkey-and-gravy,Kendra Vaculin,"Ingredients8 - 10 Servings112–14-lb. turkey⅓cup Diamond Crystal or ¼ cup Morton kosher salt¼cup (packed) light brown sugar1Tbsp. smoked paprika1cup (2 sticks) unsalted butter, divided3cups turkey stock or low-sodium chicken or vegetable broth⅔cup all-purpose flour1Tbsp. Worcestershire sauceFreshly ground black pepperAssorted herb sprigs (for serving; optional)","PreparationStep 1Line a rimmed baking sheet with foil and set a wire rack inside. Pat turkey dry with paper towels and place, breast side up, on rack.Step 2Mix salt, brown sugar, and paprika in a medium bowl to combine. Pat dry brine all over sides and in cavity of turkey, working into any crevices. Chill turkey, uncovered, at least 24 hours and up to 2 days.Step 3When you are ready to roast turkey, preheat oven to 400°. Arrange turkey, breast side up, on a wire rack set inside a rimmed baking sheet (if using the same baking sheet, throw away foil and rinse pan to remove any accumulated salty liquid). Pour ¾ cup water into baking sheet (this will keep the drippings from burning). Roast, rotating baking sheet halfway through, until golden brown, 35–45 minutes.Step 4Meanwhile, melt ½ cup butter in a small saucepan over medium.Step 5Remove turkey from oven and brush or spoon half of the butter over turkey. Pour an additional ⅓ cup water into baking sheet.Step 6Reduce oven temperature to 300°. Return turkey to oven (if any spots are overly dark, like the wing tips, cover with small pieces of foil) and roast, rotating baking sheet and brushing turkey with remaining melted butter halfway through, until well browned and an instant-read thermometer inserted into the thickest part of the breast registers 155° (temperature will continue to rise as the turkey rests), 70–80 minutes. Let rest on baking sheet at least 30 minutes.Step 7Lift and tilt turkey so that all the drippings from the bird and inside the cavity run onto the baking sheet, and transfer turkey to a cutting board. Pour drippings into a large measuring glass, scraping in browned bits stuck to baking sheet with a spatula. Pour in stock as needed to measure 4 cups.Step 8Melt remaining ½ cup butter in a medium saucepan over medium heat. Add flour and cook, whisking constantly, until smooth and light golden brown, about 3 minutes. Gradually pour in drippings mixture, whisking constantly until combined. Reduce heat to low and simmer, whisking often, until gravy is thickened, about 5 minutes. Add Worcestershire sauce and whisk well. Season gravy with salt and lots of pepper.Step 9Carve turkey and arrange on a large platter. Tuck herb sprigs around turkey if desired. Serve with gravy on the side."
Shrimp and Salami Pasta,https://www.bonappetit.com/recipe/shrimp-and-salami-pasta,Shilpa Uskokovic,"Ingredients 4 servings1lb. shrimp, peeled, deveined, tails removed, patted dry1tsp. Diamond Crystal or ½ tsp. Morton kosher salt, plus more12oz. orecchiette or other short pasta3oz. log salami, preferably fennel, thinly sliced into rounds½cup (1 stick) unsalted butterZest and juice of 1 lemon6garlic cloves, finely chopped1tsp. crushed red pepper flakes1tsp. fennel seeds, lightly crushed1small fennel bulb, tough outer layers removed, finely chopped1cup dry white wine1tsp. smoked paprika½cup coarsely chopped parsley","PreparationStep 1Season shrimp with 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt.Step 2Cook pasta in a large pot of boiling salted water, stirring occasionally, until very al dente, about 2 minutes less than package directions. Drain pasta, reserving 1 cup pasta cooking liquid.Step 3Meanwhile, heat a large heavy pot over medium. Cook salami, turning occasionally, until crisp around the edges (some of the fat will have cooked out), 6–8 minutes. Transfer to a small plate.Step 4Melt butter in same pot. Add lemon zest, garlic, red pepper flakes, and fennel seeds; cook, stirring often, until garlic is just golden, about 2 minutes. Add chopped fennel, season with salt, and cook, stirring often, until softened, about 2 minutes. Add wine and increase heat to medium-high; cook, stirring occasionally, until alcohol smell is mostly gone, about 3 minutes. Add shrimp and paprika and cook, stirring occasionally, until shrimp are bright pink, about 2 minutes.Step 5Add pasta and reserved pasta cooking liquid to sauce. Reduce heat to medium and cook, stirring often, until pasta is well coated and glossy, about 4 minutes.Step 6Remove pasta from heat, season with salt, and mix in lemon juice, parsley, and salami. Divide pasta among shallow bowls or plates to serve."
Slow-Roast Gochujang Chicken,https://www.bonappetit.com/recipe/slow-roast-gochujang-chicken,Molly Baz,"Ingredients4 servings13½–4-lb. whole chicken1Tbsp. Diamond Crystal or 1¾ tsp. Morton kosher salt, plus moreFreshly ground black pepper5Tbsp. gochujang (Korean hot pepper paste)¼cup plus 2 Tbsp. extra-virgin olive oil2heads of garlic1½"" piece fresh ginger1½lb. baby Yukon Gold potatoes (about 1½"" in diameter)5scallions2limes2tsp. honey","Steps1.Place a rack in middle of oven; preheat to 300°. This is an important temperature for this recipe, so if you don’t have an oven thermometer already, now is the time to get one! Pat chicken dry with paper towels. Place on a small rimmed baking sheet. Season 1 3½–4-lb. whole chicken all over with 1 Tbsp. Diamond Crystal or 1¾ tsp. Morton kosher salt and lots of freshly ground black pepper, making sure to season the inside cavity.2.Whisk 5 Tbsp. gochujang and ¼ cup extra-virgin olive oil in a medium bowl until combined. Finely grate 3 garlic cloves (from one of the heads of garlic) into gochujang oil. Peel  1 ½"" piece fresh ginger (a spoon can get the job done), then grate into gochujang oil; whisk to combine.Play/Pause ButtonPausePlay/Pause ButtonPausePlay/Pause ButtonPauseChevronChevron3.Cut what’s left of the head of garlic in half crosswise. Repeat with second head of garlic. Stuff 2 garlic halves inside cavity of chicken. Tie legs together with kitchen twine.4.Using a pastry brush, brush half of gochujang oil over chicken.5.Toss 1½ lb. baby Yukon Gold potatoes and remaining 2 garlic halves and 2 Tbsp. extra-virgin olive oil in remaining gochujang oil until well coated. Season lightly with salt and pepper and toss again to combine.6.Arrange potatoes in a 12"" cast-iron skillet, scooting them toward edges of pan to make space for chicken. Nestle garlic halves (cut sides down) in center of skillet. Place chicken over garlic—as it roasts, it will infuse the fat (and thus, the potatoes) with flavor. If any potatoes have shimmied their way under the chicken, use tongs to arrange them around it (they won’t cook at the same rate if they’re under the chicken).7.Roast chicken and potatoes, turning potatoes once or twice to coat in juices and oil that accumulate in pan, until potatoes are very tender when pressed with the back of a spoon, and chicken skin is deep reddish-golden brown in color, 2½–3 hours. When you wiggle the legs of the chicken, they should feel loose in the joints, meaning the meat is fall-apart tender. Transfer chicken to a cutting board and let rest 10–15 minutes. Don't skip this step: Letting the bird rests helps the juices in the meat to settle (in other words, it makes the meat juicier).8.Meanwhile, use the back of a large spoon or a potato masher to gently smash potatoes in skillet, exposing some of their flesh to juices underneath so they can soak them up.9.Finish the potatoes: Thinly slice 5 scallions on a long diagonal. Cut 2 limes in half. Cut 1 half into wedges and set aside. Stir 2 tsp. honey and juice of remaining lime half into potatoes. Taste potatoes and season with more salt if needed. Scatter sliced scallions over potatoes.Play/Pause ButtonPausePlay/Pause ButtonPausePlay/Pause ButtonPausePlay/Pause ButtonPauseChevronChevron10.Carve chicken, then arrange pieces over potatoes and scallions. Serve right out of skillet with remaining lime wedges alongside for squeezing, and squeeze out the sweet, slow-roasted garlic cloves as you wish.→  Nervous about carving the bird? This video should help.11.Do Ahead: Chicken can be seasoned 12 hours ahead. Chill chicken if you’re not going to cook within 2 hours of seasoning."
Stuffing Biscuits,https://www.bonappetit.com/recipe/stuffing-biscuits,Kendra Vaculin,"IngredientsMakes 121Tbsp. Diamond Crystal kosher or 1¾ tsp. Morton kosher salt1Tbsp. baking soda¼tsp. baking powder1tsp. sugar1½tsp. freshly ground black pepper4cups (500 g) all-purpose flour, plus more for surface1cup (2 sticks) chilled unsalted butter, cut into small pieces4scallions, thinly sliced3Tbsp. finely chopped rosemary3Tbsp. finely chopped sage1(heaping) Tbsp. fennel seeds1½cups chilled buttermilk, plus more for brushing","PreparationStep 1Place a rack in middle of oven; preheat to 425°. Whisk salt, baking soda, baking powder, sugar, pepper, and 4 cups flour in a large bowl. Add butter and, using your fingers, work into dry ingredients, smashing and flattening and tossing to coat with flour, until you have some flat quarter-size pieces and some smaller pea-size pieces. Add scallions, rosemary, sage,and fennel seeds and toss to evenly distribute. Add 1½ cups buttermilk and stir mixture with a fork just until a shaggy dough forms. Turn out dough onto a lightly floured surface and knead once or twice to incorporate any loose pieces.Step 2Pat dough into a 10x8"" rectangle. Using a large knife, cut in half crosswise, then stack 1 piece on top of the other. Turn rectangle so a long side is closest to you and cut dough in half crosswise again. Stack 1 piece on top of the other. (This process will build layers into your biscuits.) Turn dough and pat again into a 10x8"" rectangle. Cut into 12 even pieces (you should have a grid of 4 on the long sides and 3 on the short sides). Place biscuits on a parchment-lined baking sheet, spacing evenly, and freeze 10 minutes.Step 3Brush top of each biscuit lightly with buttermilk and bake, rotating baking sheet halfway through, until golden brown, 22–26 minutes."
Sweet Potato Loaf Cake With Dark Chocolate Ganache,https://www.bonappetit.com/recipe/sweet-potato-loaf-cake-with-dark-chocolate-ganache,Cheryl Day,"Ingredients12 ServingsCake1lb. sweet potatoes (2–3 medium), peeled, cut into 1"" pieces, or 1 cup (250 g) canned sweet potato puréeUnsalted butter or nonstick vegetable oil spray (for pan)2½cups (313 g) all-purpose flour1Tbsp. Diamond Crystal or 1¾ tsp. Morton kosher salt1tsp. baking powder½tsp. baking soda2tsp. ground cinnamon½tsp. freshly grated nutmeg¼tsp. ground cloves2large eggs, room temperature1½cups (300 g) granulated sugar2tsp. finely grated orange zest1tsp. vanilla extract1cup vegetable oilGanache and assembly½cup heavy cream4Tbsp. unsalted butter, cut into 1"" pieces3Tbsp. granulated sugar2Tbsp. brewed coffee½tsp. Diamond Crystal or ¼ tsp. Morton kosher salt8oz. (227 g) bittersweet chocolate½tsp. vanilla extract","PreparationCakeStep 1Place a rack in middle of oven and preheat to 400°. If using raw sweet potatoes, wrap in foil and roast on a parchment-lined baking sheet until tender (a knife should slide easily into flesh), 50–60 minutes.Step 2Unwrap sweet potatoes and let sit until cool enough to handle. Transfer to a small bowl. Using a potato masher or fork, smash until smooth. Measure out 1¼ cups (250 g) purée; save any extra for another use.Step 3Reduce oven temperature to 325°. Butter a 9x5"" loaf pan or lightly coat with nonstick spray. Line pan with parchment paper, leaving overhang on long sides. Whisk flour, salt, baking powder, baking soda, cinnamon, nutmeg, and cloves in a medium bowl.Step 4Whisk mashed sweet potato (homemade or canned), eggs, granulated sugar, zest, and vanilla extract in a large bowl until smooth. Gradually add oil, whisking constantly until completely incorporated. Using a rubber spatula, fold in dry ingredients in 2 batches, mixing just until combined after each addition. Scrape batter into prepared pan and smooth surface with an offset spatula.Step 5Bake cake until golden and a tester inserted into the center comes out clean, 75–90 minutes. Transfer cake to a wire rack and let cool in pan 15 minutes. Using parchment overhang, lift cake out of pan and onto rack. Remove parchment and let cake cool completely.Ganache and assemblyStep 6Bring cream, butter, sugar, coffee, and salt to a simmer in a small saucepan over medium heat. Remove from heat, add chocolate and vanilla, and whisk until chocolate is melted and mixture is smooth. Let cool until thickened slightly, 40–60 minutes.Step 7Pour ganache over cake (it should flow over the sides) and, using a small offset spatula, smooth it evenly over surface. Chill cake until ganache is set, 20–30 minutes. Bring cake to room temperature before serving.Do ahead: Unglazed cake can be baked 3 days ahead. Store tightly wrapped at room temperature."
